"","V1","V2"
"1",1577854800,4.14870900729522
"2",1577855160,4.14869966423722
"3",1577855520,4.14869032117921
"4",1577855880,4.14868097812121
"5",1577856240,4.14867163506321
"6",1577856600,4.14866229200521
"7",1577856960,4.14865294894721
"8",1577857320,4.14864360588921
"9",1577857680,4.1486342628312
"10",1577858040,4.1486249197732
"11",1577858400,4.1486155767152
"12",1577858760,4.1486062336572
"13",1577859120,4.1485968905992
"14",1577859480,4.14858754754119
"15",1577859840,4.14857820448319
"16",1577860200,4.14856886142519
"17",1577860560,4.14855951836719
"18",1577860920,4.14855017530919
"19",1577861280,4.14854083225119
"20",1577861640,4.14853148919318
"21",1577862000,4.14852214613518
"22",1577862360,4.14851280307718
"23",1577862720,4.14850346001918
"24",1577863080,4.14849411696118
"25",1577863440,4.14848477390317
"26",1577863800,4.14847543084517
"27",1577864160,4.14846608778717
"28",1577864520,4.14845674472917
"29",1577864880,4.14844740167117
"30",1577865240,4.14843805861317
"31",1577865600,4.14842871555516
"32",1577865960,4.14841937249716
"33",1577866320,4.14841002943916
"34",1577866680,4.14840068638116
"35",1577867040,4.14839134332316
"36",1577867400,4.14838200026515
"37",1577867760,4.14837265720715
"38",1577868120,4.14836331414915
"39",1577868480,4.14835397109115
"40",1577868840,4.14834462803315
"41",1577869200,4.14833528497515
"42",1577869560,4.14832594191714
"43",1577869920,4.14831659885914
"44",1577870280,4.14830725580114
"45",1577870640,4.14829791274314
"46",1577871000,4.14828856968514
"47",1577871360,4.14827922662713
"48",1577871720,4.14826988356913
"49",1577872080,4.14826054051113
"50",1577872440,4.14825119745313
"51",1577872800,4.14824185439513
"52",1577873160,4.14823251133713
"53",1577873520,4.14822316827912
"54",1577873880,4.14821382522112
"55",1577874240,4.14820448216312
"56",1577874600,4.14819513910512
"57",1577874960,4.14818579604712
"58",1577875320,4.14817645298911
"59",1577875680,4.14816710993111
"60",1577876040,4.14815776687311
"61",1577876400,4.14814842381511
"62",1577876760,4.14813908075711
"63",1577877120,4.14812973769911
"64",1577877480,4.1481203946411
"65",1577877840,4.1481110515831
"66",1577878200,4.1481017085251
