"","x"
"1",15.4263676757536
"2",15.487134872502
"3",15.5479020692504
"4",15.6086692659992
"5",15.6694364627476
"6",15.730203659496
"7",15.7888975256207
"8",15.8496647223695
"9",15.9104319191179
"10",15.9711991158663
"11",16.0319663126147
"12",16.0927335093635
"13",16.1535007061119
"14",16.2142679028603
"15",16.2750350996086
"16",16.3358022963575
"17",16.3965694931058
"18",16.4573366898542
"19",16.5174127763947
"20",16.5781799731431
"21",16.6389471698919
"22",16.6997143666403
"23",16.7604815633887
"24",16.8198665397213
"25",16.8805578287748
"26",16.9367204220239
"27",16.9915749539604
"28",17.0423404559321
"29",17.0898630393284
"30",17.1356001465796
"31",17.1783679753105
"32",17.2173415256003
"33",17.2541336281285
"34",17.2852624303283
"35",17.3121005442679
"36",17.334555607654
"37",17.3514521239693
"38",17.3636978366683
"39",17.3695415889833
"40",17.3696428657958
"41",17.3660246584529
"42",17.3566977373713
"43",17.3428242959081
"44",17.3250800458408
"45",17.3032029625956
"46",17.2779572467821
"47",17.2495276081829
"48",17.217553650054
"49",17.1822766044038
"50",17.1416807477133
"51",17.0937958513692
"52",17.0442074889372
"53",16.9932733055844
"54",16.9416844805986
"55",16.8931194486418
"56",16.8446306319159
"57",16.7991297473191
"58",16.7560069528454
"59",16.7114511782387
"60",16.6856712841598
"61",16.6514303399339
"62",16.6094541853444
"63",16.5653753475584
"64",16.5227919372342
"65",16.4807298237393
"66",16.4443941528349
"67",16.4082723315293
"68",16.36935135505
"69",16.3274235397301
"70",16.2806554044217
"71",16.2303995023489
"72",16.1770994761359
"73",16.1204079077449
"74",16.0663071974677
"75",16.0097190117923
"76",15.9499263025888
"77",15.8893284287572
"78",15.8252606845191
"79",15.7608007650627
"80",15.6998747977095
"81",15.63874492261
"82",15.5828256316764
"83",15.5319427745871
"84",15.4853950797282
"85",15.4498406247439
"86",15.4135862187056
"87",15.3834250914919
"88",15.3615452068978
"89",15.3418802704816
"90",15.3224692770059
"91",15.3064279169854
"92",15.2893031395438
"93",15.2704867663352
"94",15.2492703961137
"95",15.2238266596432
"96",15.1961908991606
"97",15.1657307294176
"98",15.1343851415149
"99",15.109646113245
"100",15.0924770639882
"101",15.0827123549866
"102",15.0811767512656
"103",15.0823026652259
"104",15.0888059106977
"105",15.0962699311257
"106",15.1027200133794
"107",15.1102706235719
"108",15.1151752444818
"109",15.1166002355786
"110",15.1142326999591
"111",15.1050017362648
"112",15.0919452452831
"113",15.0739310490811
"114",15.0488047178061
"115",15.0261066111913
"116",15.0065039342599
"117",14.9916497289109
"118",14.983138569455
"119",14.9800498549263
"120",14.9834534384543
"121",14.993165693646
"122",15.0045221201631
"123",15.0250112333592
"124",15.0530830405857
"125",15.0862901207469
"126",15.1260629930322
"127",15.1665223388107
"128",15.2075482137045
"129",15.2505964466249
"130",15.2886557194829
"131",15.3242619785793
"132",15.356146774678
"133",15.3827627436849
"134",15.4065585136607
"135",15.4250262213466
"136",15.4393436925613
"137",15.4564987220987
"138",15.4730563111775
"139",15.4919746193636
"140",15.5172279608326
"141",15.5503883892313
"142",15.5924666394422
"143",15.642767053111
"144",15.6987632525442
"145",15.7631972291371
"146",15.8303976674538
"147",15.8971669758957
"148",15.962147340813
"149",16.0224828076886
"150",16.0796503949853
"151",16.1341435506491
"152",16.1841349798966
"153",16.2358460914903
"154",16.2872451026431
"155",16.3389998283793
"156",16.396550458747
"157",16.4617236404413
"158",16.5358900039514
"159",16.6189895361821
"160",16.7095732128128
"161",16.8092304611025
"162",16.9163580262923
"163",17.023264366758
"164",17.1334550728568
"165",17.2425902189985
"166",17.3517755871572
"167",17.4605494943347
"168",17.567233144436
"169",17.6730894670246
"170",17.7782000067828
"171",17.8791771536372
"172",17.9787163941837
"173",18.0773182830052
"174",18.1747201839019
"175",18.2709510471807
"176",18.366923719857
"177",18.4630362110154
"178",18.5635571377502
"179",18.6663885022048
"180",18.7719341598674
"181",18.8828171891747
"182",18.9965196664493
"183",19.1148188408116
"184",19.236146011352
"185",19.372272082979
"186",19.496846831694
"187",19.6188525347935
"188",19.7374690962838
"189",19.8529857365543
"190",19.9641856341257
"191",20.0735807577302
"192",20.1806368402481
"193",20.2851176647064
"194",20.3899829753693
"195",20.4942853476523
"196",20.5962613623471
"197",20.6950016045835
"198",20.7898561089373
"199",20.8827693917246
"200",20.9742501121796
"201",21.0631048559743
"202",21.1512999333606
"203",21.2368743234146
"204",21.3174611580839
"205",21.3948876464838
"206",21.4662285252159
"207",21.5339430301693
"208",21.5997940174816
"209",21.6611873838326
"210",21.7210770954075
"211",21.7789139411265
"212",21.8320915183607
"213",21.8841543748682
"214",21.9338196513106
"215",21.9812892977123
"216",22.0287218582144
"217",22.0737373146966
"218",22.1195551452218
"219",22.1307972042314
"220",22.1308305184553
"221",22.1308638326793
"222",22.1308971469032
"223",22.1309304611271
"224",22.1309637753511
"225",22.130997089575
"226",22.131030403799
"227",22.1310637180229
"228",22.1310970322468
"229",22.1311303464708
"230",22.1311636606947
"231",22.1311969749187
"232",22.1312302891426
"233",22.1312636033665
"234",22.1312969175905
"235",22.1585400427395
"236",22.2024334543927
"237",22.2417269445276
"238",22.2777353619843
"239",22.3083298981337
"240",22.3359656678145
"241",22.3590029385219
"242",22.3748489995851
"243",22.3880085493231
"244",22.397291063306
"245",22.4044421643353
"246",22.409516986577
"247",22.4109611076163
"248",22.4102400339863
"249",22.4074060072997
"250",22.3993114964304
"251",22.3904483217659
"252",22.3810910546686
"253",22.3709235946242
"254",22.3611337538223
"255",22.3494820939768
"256",22.3368276566711
"257",22.3243353567822
"258",22.3098548266948
"259",22.2958936496694
"260",22.2860235401856
"261",22.2817548190197
"262",22.2843254300586
"263",22.2917662152344
"264",22.3022665722178
"265",22.316147298235
"266",22.3311967707354
"267",22.3482406321271
"268",22.3671665211616
"269",22.3851450939736
"270",22.404532576695
"271",22.423026421027
"272",22.4394649756284
"273",22.4556725534577
"274",22.4703685812617
"275",22.484850422951
"276",22.5016879496667
"277",22.5192976708565
"278",22.5388313167469
"279",22.5592789357325
"280",22.578780706995
"281",22.5987655607813
"282",22.6150377425091
"283",22.6258874993404
"284",22.6408160437084
"285",22.6604799306497
"286",22.6839051473103
"287",22.7148418484321
"288",22.7496296233307
"289",22.7906890574878
"290",22.8401080740493
"291",22.8929896128022
"292",22.949803463977
"293",23.0068127159606
"294",23.0664757482248
"295",23.1278185841698
"296",23.1902847609226
"297",23.255331726508
"298",23.3267702383461
"299",23.4000805430283
"300",23.4744599172348
"301",23.549062616199
"302",23.622506851682
"303",23.6981869296752
"304",23.7447982820561
"305",23.8195343586571
"306",23.8949967601027
"307",23.9681045123364
"308",24.0365147861797
"309",24.1010976842543
"310",24.1582150174492
"311",24.2123901195351
"312",24.2625998329857
"313",24.3074771876809
"314",24.3520731399144
"315",24.3948367581467
"316",24.4354262033396
"317",24.4757487678179
"318",24.5131624455368
"319",24.5510313016645
"320",24.591595697048
"321",24.6309037146333
"322",24.6716461821508
"323",24.7125579912647
"324",24.7519416218349
"325",24.7915558629516
"326",24.8292575062533
"327",24.8642660251942
"328",24.899784135398
"329",24.9339068634816
"330",24.969634366998
"331",25.0108780987229
"332",25.0498505890098
"333",25.088089479916
"334",25.1253233804398
"335",25.1593946743037
"336",25.1928266451902
"337",25.2229457080426
"338",25.2494826168572
"339",25.2749886925173
"340",25.297654731652
"341",25.3194451071147
"342",25.3409097211793
"343",25.3607600489062
"344",25.380917655834
"345",25.3986712731162
"346",25.4128167932206
"347",25.4271153784809
"348",25.4409740751107
"349",25.455835562087
"350",25.4718999907144
"351",25.4848563165653
"352",25.4972622052271
"353",25.5092659116721
"354",25.5199351241068
"355",25.5351290018269
"356",25.5535228011156
"357",25.5752071592834
"358",25.6016826540633
"359",25.6294468356522
"360",25.6614177371677
"361",25.6954990101752
"362",25.7290476947599
"363",25.7649793945955
"364",25.8016877626331
"365",25.8388293846066
"366",25.8785240295527
"367",25.9162306368615
"368",25.9531011175952
"369",25.9897774684133
"370",26.025472768905
"371",26.0607463668223
"372",26.0946805676544
"373",26.1263852826457
"374",26.1611158753282
"375",26.1979728613814
"376",26.2355928727005
"377",26.2771823666373
"378",26.3166832873337
"379",26.3571645142906
"380",26.3990991575246
"381",26.4392953462491
"382",26.4806402452903
"383",26.5219932278586
"384",26.5621837236411
"385",26.603849794728
"386",26.6444940267797
"387",26.68461549362
"388",26.7263082904815
"389",26.7669305648705
"390",26.8067832271682
"391",26.8476506722395
"392",26.8874290220201
"393",26.9282890240466
"394",26.9688867035114
"395",27.0070445032995
"396",27.0460605714998
"397",27.0835149510957
"398",27.1211691477163
"399",27.1631820033105
"400",27.2044805521555
"401",27.2474927021225
"402",27.292281293673
"403",27.3323379168253
"404",27.3729234463367
"405",27.4118813110283
"406",27.4483661260766
"407",27.4851730467702
"408",27.5192344266959
"409",27.5538478116824
"410",27.5892743669739
"411",27.6224475056753
"412",27.6565002586149
"413",27.6903413365131
"414",27.7225799569793
"415",27.7567010663306
"416",27.792004267957
"417",27.8268164482631
"418",27.863996976577
"419",27.9034274747683
"420",27.9458259773187
"421",27.9890271249137
"422",28.0294619952416
"423",28.0707491075225
"424",28.1100323455234
"425",28.1472028501599
"426",28.1851972396946
"427",28.220896529921
"428",28.2561494503105
"429",28.2917962292431
"430",28.324630049886
"431",28.3570877530763
"432",28.3890133107156
"433",28.4176002773474
"434",28.4463766725497
"435",28.4724013678204
"436",28.4955515250816
"437",28.5186363224341
"438",28.5398797867826
"439",28.5599569069726
"440",28.5791134135595
"441",28.5957208376636
"442",28.6122646557765
"443",28.6280201439491
"444",28.6416357665179
"445",28.6563830768535
"446",28.668175905868
"447",28.678045668783
"448",28.6894017356027
"449",28.6988545404614
"450",28.7085169376318
"451",28.7203753593699
"452",28.7294855518155
"453",28.7393253260803
"454",28.7488321076908
"455",28.7577297224856
"456",28.7679842660432
"457",28.7759620534119
"458",28.7838067343704
"459",28.7918629235563
"460",28.7975149322335
"461",28.8041724876781
"462",28.8102697084518
"463",28.8142589721137
"464",28.8179464865688
"465",28.8218116886543
"466",28.8244386971155
"467",28.8260857119992
"468",28.8250264299838
"469",28.8239522313495
"470",28.8231444894444
"471",28.8204892729053
"472",28.8188808304195
"473",28.8170450604064
"474",28.8143522755997
"475",28.8124923098576
"476",28.8096297140923
"477",28.8069197965392
"478",28.805454509534
"479",28.8034657857071
"480",28.8037091213576
"481",28.8064331787723
"482",28.809558616602
"483",28.8154040669715
"484",28.8227453761321
"485",28.830556615372
"486",28.8395896603059
"487",28.8488283037468
"488",28.858113860468
"489",28.8694432210894
"490",28.8806413299416
"491",28.8924024797069
"492",28.9060265640115
"493",28.9184469626988
"494",28.9322987335884
"495",28.9465751986681
"496",28.9587239286413
"497",28.972221652129
"498",28.9844367232735
"499",28.9956440684784
"500",29.0055969841831
"501",29.0167770973706
"502",29.0276037055634
"503",29.0412706428199
"504",29.0539949995912
"505",29.0672381372061
"506",29.0813353042067
"507",29.0946652207986
"508",29.1080868591308
"509",29.1199581193768
"510",29.1310665539897
"511",29.1431538179721
"512",29.1547605118152
"513",29.1653219017467
"514",29.1758939264977
"515",29.1852690208588
"516",29.1947646926869
"517",29.2041598814864
"518",29.2122964130768
"519",29.2208826614792
"520",29.2290338571523
"521",29.2367631560449
"522",29.24499382786
"523",29.2525896205338
"524",29.260521965101
"525",29.2681992586881
"526",29.2749510630222
"527",29.2817176608094
"528",29.2866723549676
"529",29.2897047724005
"530",29.2929078184168
"531",29.2948037424028
"532",29.2962557336976
"533",29.2973301692814
