"","ameradapass","atlanticcity","barharbor","baywavelandyachtclub","beaufort","bishopshead","boston","bridgeport","calcasieupass","charlston","chearwaterbeach","cordova","crescentcity","fernandinabeach","fortpulanski","johnnymercerpier","ketchikan","kingcove","lakeworthpier","mokuoloe","naples","oldpointtampa","oregoninletnc","panamacitybeach","portangeles","portchicago","portland","portisabel","portorford","portstluis","reddogdock","sandisland","santamonica","skagway","westport"
"1",14.251790216968,6.85254450324041,1.88958557371609,14.5113982387664,13.1532019798644,8.16099651852369,1.33836899175178,5.60917125539337,14.6996811170297,14.9231874464509,18.4234472947818,-3.76165642588799,8.77849665580614,18.3782067836208,13.9573948304869,13.7109233592037,1.10120234629716,-4.21303531536635,20.8988680953883,23.86232902391,20.2017561180387,18.0769375574608,9.87805457931623,15.1162319297307,7.83101169480063,9.96072277661768,2.48822568678102,16.8808712814245,10.0806372748781,14.4378050394666,-24.5921803766495,20.4986417800369,15.2511202481274,-2.83597243104964,8.61934472253954
"2",14.2936500389707,6.80062811602584,1.77798871124571,14.5168995685257,13.1222589795651,8.09968091366339,1.36630379964785,5.52264002853303,14.7024699435764,14.9156063578705,18.4303117946884,-3.74369271703106,8.77804248480629,18.3915584877169,13.9643902899047,13.6745554439201,1.03825016037306,-4.09546186787215,20.9223873222878,23.8580424363315,20.2066663237567,18.0926934638056,9.82478870987432,15.1204558718181,7.7350664275592,9.9333321543666,2.3777679116087,16.9588991280553,10.0513355255167,14.3841732592681,-24.3473908807263,20.5032530355885,15.2136869626263,-3.0242282693528,8.55887113156585
"3",14.3359914128178,6.74750334422053,1.66379436585672,14.5222698001986,13.0913159792658,8.03836530880308,1.39423860754392,5.43610880167269,14.7052587701232,14.9078488149736,18.4367814514693,-3.72531089223539,8.77758831380643,18.4049101918129,13.9713857493224,13.6373410439178,0.975297974448964,-3.97788842037795,20.9464539730913,23.853755848753,20.2116908174144,18.1084493701504,9.77212863744253,15.1246798139054,7.63912116031778,9.90594153211552,2.26731013643637,17.0369269746862,10.021351760624,14.3305414790695,-24.102601384803,20.5079716208379,15.1753823952851,-3.21248410765595,8.49839754059217
"4",14.3778512348208,6.69498276471018,1.55089876192618,14.5275161185902,13.0603729789663,7.97704970394232,1.42217341544021,5.3495775748117,14.7080475966699,14.9001794992349,18.443724920001,-3.70713812540895,8.77713414280657,18.4182618959091,13.9783812087401,13.6005498862746,0.912345788524394,-3.86031497288287,20.9696994880389,23.8494692611745,20.2166581671022,18.1242052764954,9.71886276800022,15.1289037559928,7.54317589307564,9.87855090986423,2.15685236126322,17.1149548213177,9.99170900349664,14.2769096988706,-23.8578118888779,20.5126365412384,15.1375134688637,-3.40073994596053,8.43792394961803
"5",14.4197110568234,6.64246218520024,1.43800315799649,14.5330758125877,13.029429978667,7.91573409908202,1.45010822333628,5.26304634795136,14.7108364232167,14.8925101834962,18.4506683885327,-3.68896535858265,8.77667997180672,18.4314617500024,13.9853766681579,13.5637587286317,0.849393602600298,-3.74407869764754,20.9934924268904,23.845182673596,20.22162551679,18.1399611828402,9.66559689855831,15.1331276980802,7.44723062583421,9.85116028761315,2.0463945860909,17.1929826679486,9.9617252386039,14.223277918672,-23.6130223929547,20.5173014616389,15.0996445424426,-3.58899578426368,8.37745035864434
"6",14.4620524306706,6.58933741339492,1.32380881260751,14.5384460442606,12.9984869783678,7.85441849422171,1.47804303123236,5.17651512109102,14.7136252497634,14.8847526405993,18.4576118570644,-3.67058353378699,8.77622580080686,18.4448134540985,13.9923721275756,13.5265443286294,0.786441416676202,-3.62650525015334,21.0175590776939,23.8408960860175,20.2266500104477,18.155717089185,9.61475421715691,15.1373516401675,7.35128535859279,9.82376966536207,1.93593681091858,17.2692356806495,9.93174147371116,14.1696461384734,-23.3710169076238,20.5220200468884,15.0613399751014,-3.77725162256684,8.31697676767066
"7",14.5043938045177,6.53621264158961,1.20961446721852,14.5440784721064,12.9675439780685,7.79310288936141,1.50597783912843,5.08998389423068,14.7164140763101,14.8769950977024,18.464555325596,-3.65220170899133,8.775771629807,18.4581651581945,13.9993675869933,13.4893299286271,0.723489230752107,-3.50893180265914,21.0410783045933,23.836609498439,20.2316745041053,18.1714729955299,9.561488347715,15.1415755822549,7.25534009135137,9.79637904311099,1.82547903574626,17.3472635272804,9.90175770881842,14.1160143582749,-23.1262274117006,20.5267386321378,15.0230354077602,-3.96550746087,8.25650317669697
"8",14.5467351783652,6.48369206207926,1.09671886328797,14.5495142528225,12.936600977769,7.73178728450065,1.53391264702472,5.00345266736968,14.7192029028569,14.8693257819636,18.4714987941278,-3.63402894216489,8.77531745880715,18.471365012288,14.0063630464111,13.4525387709839,0.660537044827537,-3.39135835516406,21.064871243445,23.8323229108605,20.2366418537932,18.1872289018748,9.50882827528282,15.1457995243423,7.15939482410922,9.7689884208597,1.7150212605731,17.4252913739119,9.87211495169112,14.0623825780759,-22.8814379157755,20.5314035525383,14.9851664813388,-4.15376329917457,8.19602958572283
"9",14.5890765522124,6.43056729027395,0.982524517898985,14.5548189354522,12.9056579774697,7.67047167964034,1.56184745492079,4.91692144050934,14.7219917294036,14.8615682390667,18.4784422626595,-3.61564711736923,8.77486328780729,18.484716716384,14.0133585058288,13.4153243709816,0.597584858903441,-3.27378490766986,21.0889378942484,23.828036323282,20.2416663474508,18.2029848082197,9.46586095501307,15.1500234664296,7.0634495568678,9.74159779860862,1.60456348540078,17.499769552683,9.84213118679838,14.0087507978773,-22.6366484198522,20.5361221377877,14.9468619139977,-4.34201913747772,8.13555599474915
"10",14.6314179260596,6.37804671076401,0.869628913969301,14.5603858142548,12.8754188116244,7.60915607478004,1.58978226281687,4.830390213649,14.7247805559504,14.853898923328,18.4853857311912,-3.59747435054293,8.77440911680744,18.4980684204801,14.0203539652465,13.3785332133387,0.535348633244584,-3.15621146017566,21.1127308330999,23.8237497357036,20.2466336971386,18.2187407145645,9.41259508557116,15.154247408517,6.96750428962637,9.71420717635754,1.49410571022846,17.5769099823489,9.8124884296713,13.9551190176788,-22.391858923929,20.5407870581882,14.9089929875765,-4.53027497578088,8.07508240377546
